subject,body,label
gala ' 95 : chamada para trabalhos,"groningen assembly on language acquisition 1995 university of groningen the netherlands 7 a 9 de setembro de 1995 a conferência tem como objetivo reunir pesquisadores dispostos a discutir os méritos e as restrições de diferentes abordagens teóricas da aquisição da linguagem, em especial a linguística generativa, o construcionismo, a modelagem de sistemas dinâmicos e o conexionismo. palestrantes convidados harald clahsen university of essex annette karmiloff - smith mrc london kim plunkett university of oxford luigi rizzi university of geneva paul van geert university of groningen submissões de resumos os resumos podem abranger todos os aspectos da aquisição da linguagem relacionados às áreas centrais da linguística, incluindo fonologia, morfologia, sintaxe, semântica e interfaces. a seleção dos resumos será baseada não apenas em sua qualidade, mas também em seu potencial de contribuir para o objetivo interativo da conferência. as submissões de resumos devem incluir: 1. cinco (5) cópias de um resumo de uma página, em espaço duplo, do trabalho (sem pôsteres), de preferência em fonte ou tipo 12, com um título. omita o nome e a afiliação. a avaliação será anônima. 2 . um cartão de 10cm por 15cm (ou 3"" por 5"") com o título do trabalho, o(s) nome(s) do(s) autor(es), a afiliação, o endereço para correspondência e o endereço de e-mail. especifique também qualquer equipamento de av necessário. os resumos devem fornecer uma visão geral completa da pesquisa que será apresentada: uma declaração das principais hipóteses, um breve relato do método, coleta de dados e resultados e um resumo das conclusões alcançadas. o prazo para o envio de resumos é 15 de abril de 1995. os resumos que chegarem após essa data não serão aceitos. os resumos devem ser enviados para: gala 1995 university of groningen department of linguistics postbus 716 9700 as groningen the netherlands as perguntas devem ser enviadas para o endereço acima ou por e-mail para: gala95 @ let. rug. nl. informações atualizadas sobre a conferência, incluindo informações sobre inscrições, também podem ser encontradas em: http: / / www . let . rug . nl / linguistics / events / gala / este documento pode ser obtido no site www acima ou por ftp, por meio de login anônimo em: tyr . let . rug . nl , / pub / linguistics / events / gala observe: não serão aceitos envios de resumos por e-mail! = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - = - =",0
bu conf on language development ' 95 - anúncio,"20ª conferência anual da universidade de boston sobre o desenvolvimento da linguagem 3, 4 e 5 de novembro de 1995 oradora principal: lila gleitman oradora plenária: lydia white as sessões incluem aquisição de sintaxe, morfologia, fonologia, conhecimento lexical e conceitual, discurso, narrativa e alfabetização, aspectos sociais e culturais do uso da linguagem, bem como linguagem excepcional, processamento da linguagem e bilinguismo no primeiro e segundo idiomas. Todas as sessões da conferência serão realizadas no campus da Universidade de Boston, no george sherman union, 775 commonwealth avenue, boston. * Para obter mais informações: um programa preliminar, um formulário de pré-inscrição e informações sobre hotéis, descontos em tarifas aéreas domésticas e providências para o cuidado de crianças estão disponíveis por e-mail. Se você enviar uma mensagem para info @ louis-xiv . bu . edu, receberá uma resposta automática que contém esses materiais. Esses materiais também são enviados por correio normal para aqueles que estão em nossa lista de correspondência (os palestrantes devem esperar para fazer a pré-inscrição até receberem essa correspondência). Se tiver alguma dúvida ou se quiser adicionar seu endereço à nossa lista de correspondência regular ou nos informar sobre uma mudança de endereço, envie um e-mail para langconf @ louis-xiv . bu . edu , telefone 617-353-3085 , ou escreva para: boston university conference on language development 138 mountfort street brookline , ma 02146-4083 * * se você estiver na programação da conferência e ainda não tiver recebido uma carta de aceitação com detalhes, entre em contato conosco por e-mail imediatamente para que possamos enviar uma cópia virtual dos detalhes. Pedimos desculpas pelo inconveniente.",0
software coreano para macintosh,"Prezado senhor / senhora, poderia me enviar alguma informação sobre o software coreano para macintosh, procedimentos iatl?",0
,"syntax the antisymmetry of syntax richard s. kayne linguistic inquiry monograph twenty - five the mit press $ 17 . 95 papel , $ 35 . 95 tecido para encomendar : < mitpress-orders @ mit . edu > ou 800 . 356 . 0343 ou 617 . 625 . 8569 propõe uma teoria restritiva da ordem das palavras e da estrutura das frases, em que a última sempre determina inteiramente a ordem linear. disponível para discussão . semantics unaccusativity at the syntax - lexical semantics interface by beth levin and malka rappaport hovav linguistic inquiry monograph twenty - six the mit press $ 19 . 95 paper , $ 39 . 95 cloth to order : < mitpress-orders @ mit . edu > ou 800 . 356 . 0343 ou 617 . 625 . 8569 baseia-se na teoria da representação semântica lexical e elucida o mapeamento da semântica lexical para a sintaxe. disponível para discussão.",0
preposições e pós-posições simultâneas em pashto," 41: we sarri te to man to ' to the man ' a preposição às vezes é opcional, embora a postposição seja obrigatória. como o pashto é head-final (a ordem das palavras não marcadas é sov), é tentador considerar a postposição pelo valor nominal. no entanto, há alguns fatos vinculativos que sugerem que uma frase contendo um np + postposição é referencial e, portanto, pode ser possível analisar a postposição como algum tipo de marcador de caso. Entendo que pode haver essa distinção entre marcadores de caso homófonos e postposições em japonês, por exemplo. Ficaria muito grato se alguém pudesse sugerir artigos que tratem dessas construções. E se houver outros linguistas que estejam estudando pashto, gostaria de ouvi-los. Obrigado por qualquer ajuda! taylor roberts < troberts @ mit . edu >",0
sum : imperativos sem os sujeitos you,"content - length : 3573 summary of responses to my query on imperatives without you subjects minha pergunta original solicitava referências e sugestões sobre imperativos aparentes com sujeitos indefinidos em sintagmas nominais, como: do n't anybody move . all the band members leave the room now . all in favor say "" aye . ""Muito obrigado a todos os respondentes: suzanne kemmer , susan fischer , bob frank , jussi karlgren , steven schaufele , larry horn , arnold zwicky , alan huffman , christer platzack , marie egan , michael flier , bruce nevin , kripka sundar , e rosta , kimberly weiss , bruce downing , anton sherwood , bernard comrie , inger rosengren , chase wrenn , peter coopmans horn , fischer e flier sugeriram verificar o status de assunto de anybody , all etc. observando as tags , onde parece que o under - lying you reaparece , enquanto as tags com anybody e all soam ruins . Todos a favor dizem ""sim"", você não vai / * eles não vão? Isso se correlaciona com o fato de que os indefinidos podem ser entendidos como a especificação da referência de você, de modo que anybody equivale a ""qualquer um de vocês"", all a ""todos vocês"" e assim por diante. De forma semelhante, rosta, sundar, schaufele e comrie sugerem que anybody e all são a realização lexical de um destinatário pragmático you e de um agente pressuposto you. weiss, nevin e sherwood analisam os exemplos como contendo um vocativo anybody e all com um imperativo regular de 2ª pessoa correspondente. huffman e wrenn veem esses imperativos aparentes como sentenças subjuntivas, de forma que a ocorrência de anybody e all não requer nenhum comentário especial. egan e karlgren destacam a existência de imperativos de 1ª e 3ª pessoa no grego e no alemão. assim, em alemão: gehen wir ins kino, grosso modo, ""vamos ao cinema"" contém a 1ª pessoa do plural wir ""nós"" com o imperativo gehen. isso também sugere que os imperativos com sujeitos de 3ª pessoa não apresentam nenhuma anomalia. esses entrevistados e outros mencionados acima citaram as referências abaixo. downing, bruce. 1969 . vocatives and 3rd - person imperatives in english . papers in linguistics 1 , 3 : 570-92 . zwicky , arnold . 1987 . rev. of davis . the english imperative . linguistics 25 , 4 : 805-810 . zwicky , a . 1988 . on the subject of bare imperatives in english . on language % stockwell festschrift % , ed . by duncan - rose et al . croom helm . beukema , f . & p . coopmans . 1989 . a gb perspective on the imperative in english . journal of linguistics 25 : 417-36 . zanuttini . 1991 . dissertação da u of pennsylvania . platzack , chr . & i . rosengren . 1994 . on the subject of imperatives . sprache & pragmatics . to appear . takahashi , hide . to appear . language sciences . obrigado a todos que responderam . assim que eu der uma olhada nas várias referências, poderei oferecer um comentário adicional ao linguist . best wishes , neal norrick tb0nrn1 @ mvs . cso . niu . edu",0
políticas,"mensagem dos moderadores um feliz 1995 para todos os nossos assinantes ! como você pode ver, a linguist voltou a funcionar - no dia 8, e não no dia 5, como esperávamos, mas agora estamos funcionando em nosso novo endereço. lembre-se: aqueles que enviam mensagens para linguist @ tamvm1 . tamu . edu podem continuar usando esse endereço. mas aqueles que costumavam enviar mensagens para linguist @ tamsun . tamu . edu devem mudar para o endereço . . tamvm1 ou para linguist @ tam2000 . tamu . edu. este último é o nosso novo endereço editorial. o endereço . . . tamsun agora é pior do que inútil: a máquina em si foi tirada do ar pela texas a&m, portanto, todas as mensagens enviadas para lá simplesmente desaparecerão em um buraco negro da internet. elas não serão encaminhadas para nós. as edições de ano novo começam com esta edição: 6 . 1. no entanto, o listserv engoliu algumas das edições que postamos em 20 de dezembro e só agora as está enviando. Portanto, é provável que você tenha recebido algumas edições do volume 5 (1994) somente hoje. Não era essa a nossa intenção - na verdade, trabalhamos muito para limpar o mailer e publicar todas as mensagens que recebemos antes de encerrarmos as atividades em 21 de dezembro. No entanto, o mau funcionamento do listserv simplesmente não está sob nosso controle. O sysop da texas a&m tirou longas (bem merecidas) (e, esperamos, energizantes) férias de Natal. e, até seu retorno, o listserv não liberaria as questões que havíamos postado. e isso, por uma transição relâmpago, nos leva a algumas observações sobre a manutenção da livre discussão na linguist. À medida que a linguist cresce, ela se torna potencialmente mais poderosa - alguns poderiam dizer ""ameaçadora"" - em virtude de seu papel como fonte de informação. É natural que políticas e postagens controversas gerem preocupação e, no ano passado, recebemos várias reclamações, protestos e sugestões editoriais. * Por mais razoável que isso pareça, infelizmente não é possível. A linguist processa de 50 a 70 mensagens por dia; no ano passado, reunimos e publicamos 1.600 questões (como sabem aqueles que têm caixas de correio cheias demais! Pedimos aos nossos três editores estudantes que verifiquem a civilidade das mensagens (mais sobre isso abaixo), mas eles não têm tempo para verificar nada que não esteja imediatamente diante deles na tela. Portanto, não há como nos esforçarmos para atingir os padrões de precisão das revistas impressas. E, é claro, não somos uma revista; somos uma lista de discussão. A única verificação eficaz da precisão de qualquer postagem é a própria discussão. Portanto, a moral é: - leia com um pouco de ceticismo - - e, se você vir uma imprecisão, poste uma correção * o que precede se aplica, é claro, ao conteúdo profissional das postagens; não podemos ser responsáveis pela precisão das afirmações de ninguém sobre o número de palavras para ""neve"". ""Tampouco - e essa é a área problemática - podemos verificar as afirmações sobre as decisões, opiniões ou condutas de qualquer pessoa ou instituição. Faremos todo o esforço possível para garantir que qualquer postagem desse tipo tenha relevância profissional, seja moderada no fraseado e (se possível) não mencione nomes. Também tentamos não divulgar controvérsias que tenham apenas relevância pessoal, pois não queremos que a linguist se torne simplesmente um fórum para queixas particulares. * sobre queixas mais generalizadas: recebemos muitos protestos sobre o corte de discussões que criticam escolas específicas de linguística. nosso problema com algumas delas foi que as críticas eram anedóticas, (às vezes) desprovidas de conteúdo acadêmico e soavam como queixas pessoais (veja acima). Além disso, os adeptos das escolas atacadas estavam nos dizendo que não se sentiam mais bem-vindos na lista. Portanto, não querendo que a Linguist se tornasse um fórum de reclamações ou uma causa de divisão desnecessária na disciplina, interrompemos as discussões. Portanto, decidimos, pelo menos, não interromper as discussões abruptamente. Em vez disso, avisaremos ""próxima - a última postagem em x"" antes de enviarmos uma mensagem de ""última postagem"". Além disso, gostaríamos de reiterar que qualquer discussão que possa comparar escolas ou teorias e se ater às questões acadêmicas será muito bem-vinda. Não temos o compromisso de proteger nenhuma escola de críticas acadêmicas e, na verdade, diríamos a qualquer manifestante que esta é uma lista de discussão e que, se ele se sentir atacado, deverá se defender por meio da discussão. * sobre civilidade: nunca tivemos a intenção de nos tornarmos uma espécie de miss educação eletrônica e, francamente, muitas vezes parece um papel muito estranho para seus moderadores rudes. A lista foi dissolvida porque as discussões se tornaram muito pessoais e acaloradas; e (2), na medida do possível, gostaríamos que todos - e não apenas os corajosos ou imprudentes - se sentissem à vontade para entrar em uma discussão linguística. (é claro que entendemos que o que é ou não é inflamatório é um julgamento, e nosso julgamento pode estar errado. ) No entanto, devolvemos pouquíssimas postagens e, o que é interessante, nunca recebemos nada além de cooperação dos autores. * Portanto, como dissemos antes, achamos que os assinantes da Linguist, todos os 5.700, são um grupo de pessoas extremamente razoáveis, tolerantes e generosas. Se você tiver comentários ou sugestões sobre as políticas editoriais que esboçamos acima, gostaríamos de ouvi-los. Tenha um feliz ano novo! - helen e anthony",0
* correção do anúncio em grego helenístico,"há alguns dias, enviei uma fyi sobre os recursos linguísticos do grego helenístico. caso ainda não a tenha enviado, você poderia corrigir o URL fornecido de http : / / tartarus . uwa . edu . au / hgrk para: http : / / www . uwa . edu . au / hgrk Muito obrigado. james k . tauber ( jtauber @ tartarus . uwa . edu . au ) 4th year honours student , centre for linguistics university of western australia , wa 6009 , australia",0
pergunta sobre amostras de áudio,"estou procurando amostras de áudio da fala em inglês falada por falantes não nativos da língua inglesa para um trabalho em processamento de fala. vi a postagem de l. hiliman datada de 8/3/95 que trata de dialetos ingleses. alguém teria mais alguma sugestão sobre onde eu poderia encontrar amostras de inglês falado com sotaque estrangeiro? postarei as respostas a essa consulta na lista de linguistas. obrigada, monique fargues ece depart. naval postgraduate school monterey, ca 93943, eua",0
sexismo e linguagem,"com relação à última pergunta de lydie e. meunier, não quis dizer que considero a opressão de qualquer tipo sem importância, mas apenas que, ao estudar os usos linguísticos, não é importante (ou, pelo menos, é menos importante, ok?) saber qual é a situação real em relação à opressão e coisas do gênero do que o que as pessoas percebem como tal. Se (como alguns parecem acreditar) não há opressão das mulheres pelos homens, eu quis dizer que não seria isso que gostaríamos de saber para explicar a linguagem sexista, desde que as pessoas acreditem que os homens são melhores, mais fortes ou o que quer que seja, desde que as pessoas acreditem que os homens são e merecem ser dominantes e/ou mais proeminentes na vida pública etc. Porque, mesmo que essas coisas não sejam verdadeiras (embora eu ache que, em geral, obviamente sejam), enquanto as pessoas acreditarem que são (e certamente todas as culturas com as quais estou familiarizado acreditam), isso seria suficiente para explicar a linguagem sexista. Da mesma forma, nós, como linguistas, não precisamos discutir a existência de Deus para podermos dizer que certos usos linguísticos parecem ser derivados de tal crença. Portanto, sim, acredito que as mulheres foram e continuam sendo oprimidas de várias formas, e fico espantado com o fato de haver pessoas que negam isso, mas também diria que, para explicar a linguagem sexista, não é isso que precisamos discutir. alexis manaster ramer",0
ensino de inglês na Coreia,"o centro de idiomas da universidade nacional de chonnam está procurando instrutores de efl. atualmente, temos doze instrutores em tempo integral: três coreanos, um japonês e oito falantes nativos de inglês com diplomas em tesl. em 1995, planejamos empregar três ou mais professores de inglês, de preferência falantes nativos de inglês. forneceremos aos instrutores: 1. moradia dentro ou fora do campus 2. ajuda de custo de US$ 500 3. pagamento de US$ 19.000 por 630 horas de ensino por ano e pagamento de US$ 30 por hora adicional de ensino 4. seguro-saúde 5. cargo de professor assistente e pagamento mensal adicional de US$ 125 para aqueles com doutorado em tesl. exigimos os seguintes documentos: 1 . curriculum vitae 2 . documentos para mestrado em esl / efl 3 . duas cartas de recomendação * . os estagiários precisam de recomendações de seu próprio instituto. cada sessão começa em janeiro, março, maio, julho, setembro e novembro. portanto, você tem alguma flexibilidade para escolher a época para vir durante todo o ano. também estamos interessados em receber candidatos para o programa de estágio. os estagiários lecionarão três horas por dia (de segunda a sexta-feira) em uma ou duas sessões. forneceremos aos estagiários hospedagem em casa de família e passagem aérea de ida e volta. gyonggu shin, professor de inglês diretor do centro de pesquisa de idiomas da chonnam national university kwangju 500-757, coreia escritório : 82-62 - 520-7920 fax: 82-62 - 526-5521 e-mail: gshin @ rs6 . chonnam . ac . kr lrc @ rs6 . chonnam . ac . kr",0
